Date	Time	Severity	Direction	Truck
20050101	0220	Property Damage	S	FALSE
20050101	0350	Property Damage	S	FALSE
20050101	1312	Property Damage	S	FALSE
20050101	2320	Property Damage	N	FALSE
20050102	2330	Complaint of Pain	S	FALSE
20050103	0835	Property Damage	S	FALSE
20050103	1120	Property Damage	S	FALSE
20050103	1458	Property Damage	S	FALSE
20050103	1500	Complaint of Pain	N	FALSE
20050103	1515	Complaint of Pain	N	FALSE
20050103	1625	Complaint of Pain	S	FALSE
20050103	1736	Property Damage	N	FALSE
20050104	0925	Property Damage	S	TRUE
20050104	1200	Property Damage	S	TRUE
20050104	1723	Property Damage	N	FALSE
20050104	1730	Visible Injury	S	FALSE
20050104	2045	Complaint of Pain	S	FALSE
20050105	0620	Complaint of Pain	N	FALSE
20050105	0629	Complaint of Pain	N	FALSE
20050105	0722	Property Damage	N	FALSE
20050105	0830	Property Damage	N	TRUE
20050105	0920	Property Damage	S	TRUE
20050105	1145	Property Damage	N	FALSE
20050105	1227	Property Damage	S	TRUE
20050105	1437	Property Damage	S	TRUE
20050105	1545	Complaint of Pain	N	TRUE
20050106	0038	Severe Injury	S	FALSE
20050106	0115	Visible Injury	S	FALSE
20050106	0435	Complaint of Pain	S	FALSE
20050106	0515	Property Damage	N	FALSE
20050106	0520	Property Damage	N	FALSE
20050106	0602	Complaint of Pain	S	TRUE
20050106	0608	Complaint of Pain	S	FALSE
20050106	0720	Property Damage	S	FALSE
20050106	0950	Property Damage	S	FALSE
20050106	1525	Property Damage	S	FALSE
20050106	1840	Property Damage	S	FALSE
20050107	0820	Property Damage	N	FALSE
20050107	0907	Property Damage	S	FALSE
20050107	1030	Property Damage	N	FALSE
20050107	1236	Property Damage	S	TRUE
20050107	1241	Property Damage	S	FALSE
20050107	1505	Property Damage	N	TRUE
20050107	1520	Complaint of Pain	N	TRUE
20050107	1945	Property Damage	N	FALSE
20050107	2000	Complaint of Pain	S	FALSE
20050107	2352	Visible Injury	S	FALSE
20050108	1500	Property Damage	N	FALSE
20050108	1930	Property Damage	N	FALSE
20050108	1945	Property Damage	S	FALSE
20050109	0155	Property Damage	N	FALSE
20050109	0332	Visible Injury	S	FALSE
20050110	0027	Property Damage	S	FALSE
20050110	0735	Property Damage	S	TRUE
20050110	0750	Complaint of Pain	S	FALSE
20050110	0845	Property Damage	S	TRUE
20050110	0900	Property Damage	S	TRUE
20050110	1115	Complaint of Pain	S	TRUE
20050110	1130	Complaint of Pain	N	FALSE
20050110	1230	Property Damage	S	TRUE
20050110	1520	Property Damage	N	TRUE
20050111	0915	Visible Injury	N	TRUE
20050111	1100	Property Damage	S	FALSE
20050111	1430	Property Damage	N	FALSE
20050111	1720	Property Damage	N	TRUE
20050111	2245	Visible Injury	N	FALSE
20050112	0800	Property Damage	S	FALSE
20050112	0915	Property Damage	S	FALSE
20050112	1505	Complaint of Pain	N	FALSE
20050112	2055	Property Damage	S	TRUE
20050113	1035	Property Damage	S	TRUE
20050113	1530	Property Damage	N	FALSE
20050113	1700	Property Damage	N	FALSE
20050114	0238	Complaint of Pain	S	FALSE
20050114	0315	Visible Injury	N	FALSE
20050114	0645	Property Damage	N	FALSE
20050114	0745	Complaint of Pain	N	FALSE
20050114	0900	Fatal	S	TRUE
20050114	1035	Visible Injury	N	TRUE
20050114	1150	Property Damage	S	FALSE
20050114	1320	Property Damage	N	FALSE
20050114	1445	Property Damage	S	TRUE
20050114	1540	Property Damage	N	FALSE
20050114	1810	Property Damage	N	TRUE
20050115	0820	Property Damage	N	TRUE
20050115	0900	Property Damage	N	TRUE
20050115	2100	Property Damage	S	FALSE
20050115	2315	Property Damage	N	FALSE
20050116	0153	Visible Injury	N	FALSE
20050116	1750	Property Damage	S	FALSE
20050116	2130	Visible Injury	S	FALSE
20050116	2145	Visible Injury	S	FALSE
20050117	0639	Visible Injury	S	FALSE
20050118	1030	Complaint of Pain	N	FALSE
20050118	1135	Property Damage	N	FALSE
20050118	1625	Property Damage	N	TRUE
20050118	1650	Property Damage	S	FALSE
20050118	1800	Property Damage	N	FALSE
20050118	1801	Property Damage	N	FALSE
20050118	2030	Complaint of Pain	S	FALSE
20050118	2145	Property Damage	N	FALSE
20050118	2203	Property Damage	N	FALSE
20050119	0740	Complaint of Pain	S	FALSE
20050119	0745	Complaint of Pain	S	FALSE
20050119	0919	Property Damage	S	TRUE
20050119	1128	Property Damage	N	TRUE
20050119	1150	Property Damage	S	FALSE
20050119	1330	Property Damage	S	TRUE
20050119	1340	Property Damage	N	TRUE
20050119	1834	Property Damage	S	FALSE
20050120	0840	Property Damage	S	FALSE
20050120	0915	Property Damage	S	FALSE
20050120	1055	Complaint of Pain	S	TRUE
20050120	1615	Property Damage	S	FALSE
20050120	1810	Complaint of Pain	S	FALSE
20050121	0515	Property Damage	S	TRUE
20050121	1045	Property Damage	N	TRUE
20050121	1133	Visible Injury	N	FALSE
20050121	1750	Property Damage	S	FALSE
20050121	1830	Complaint of Pain	S	FALSE
20050121	1946	Property Damage	N	TRUE
20050121	2140	Visible Injury	N	FALSE
20050121	2150	Property Damage	S	FALSE
20050122	0202	Property Damage	N	FALSE
20050122	0245	Property Damage	S	FALSE
20050122	2130	Property Damage	N	FALSE
20050122	2345	Property Damage	S	FALSE
20050123	1045	Property Damage	S	FALSE
20050123	1430	Property Damage	S	FALSE
20050124	0240	Property Damage	N	FALSE
20050124	1500	Property Damage	N	FALSE
20050125	0553	Property Damage	S	FALSE
20050125	1225	Property Damage	N	TRUE
20050126	0815	Property Damage	S	TRUE
20050126	1005	Property Damage	N	FALSE
20050126	2115	Visible Injury	N	TRUE
20050127	1423	Property Damage	S	TRUE
20050127	1513	Property Damage	S	FALSE
20050128	0700	Property Damage	N	FALSE
20050128	1035	Complaint of Pain	S	TRUE
20050128	1155	Complaint of Pain	S	TRUE
20050128	1305	Property Damage	S	TRUE
20050128	1345	Property Damage	S	TRUE
20050128	1525	Property Damage	S	FALSE
20050128	1645	Property Damage	N	FALSE
20050128	1810	Visible Injury	S	FALSE
20050128	1825	Property Damage	N	FALSE
20050129	1250	Property Damage	S	FALSE
20050129	1440	Property Damage	S	FALSE
20050129	1730	Property Damage	S	FALSE
20050129	2250	Property Damage	N	FALSE
20050130	0010	Property Damage	N	FALSE
20050130	0355	Property Damage	N	FALSE
20050130	1240	Visible Injury	S	FALSE
20050130	1640	Property Damage	N	FALSE
20050130	1800	Property Damage	S	FALSE
20050130	1845	Property Damage	S	FALSE
20050131	0035	Property Damage	N	FALSE
20050131	0551	Property Damage	S	FALSE
20050131	0552	Property Damage	S	FALSE
20050131	0555	Complaint of Pain	N	FALSE
20050131	1730	Complaint of Pain	N	FALSE
20050131	2035	Complaint of Pain	N	FALSE
20050201	0810	Property Damage	N	TRUE
20050201	1155	Property Damage	S	FALSE
20050201	1725	Visible Injury	S	FALSE
20050201	1800	Property Damage	S	FALSE
20050202	1100	Complaint of Pain	N	FALSE
20050202	1155	Property Damage	N	TRUE
20050202	1230	Property Damage	S	TRUE
20050202	1410	Property Damage	S	TRUE
20050202	1530	Property Damage	S	FALSE
20050202	1950	Property Damage	N	FALSE
20050203	0845	Property Damage	S	FALSE
20050203	1120	Property Damage	N	TRUE
20050203	1615	Property Damage	N	FALSE
20050204	0105	Property Damage	S	FALSE
20050204	0500	Property Damage	N	FALSE
20050204	0745	Property Damage	S	FALSE
20050204	0922	Property Damage	S	TRUE
20050204	0945	Complaint of Pain	N	TRUE
20050204	1335	Property Damage	S	TRUE
20050204	1440	Complaint of Pain	N	FALSE
20050204	1500	Complaint of Pain	S	TRUE
20050204	1645	Property Damage	S	TRUE
20050204	1710	Property Damage	S	TRUE
20050204	1803	Property Damage	N	FALSE
20050204	1840	Complaint of Pain	S	FALSE
20050204	1920	Property Damage	N	FALSE
20050204	2200	Visible Injury	S	FALSE
20050204	2310	Complaint of Pain	N	FALSE
20050205	0630	Property Damage	S	FALSE
20050205	0942	Property Damage	N	TRUE
20050205	1500	Property Damage	S	TRUE
20050205	2225	Property Damage	S	FALSE
20050206	0300	Property Damage	N	FALSE
20050206	0325	Property Damage	N	FALSE
20050206	1200	Property Damage	S	FALSE
20050206	1627	Property Damage	N	FALSE
20050206	2340	Visible Injury	N	FALSE
20050207	0810	Complaint of Pain	S	TRUE
20050207	0830	Property Damage	S	TRUE
20050207	1000	Complaint of Pain	S	FALSE
20050207	1030	Property Damage	S	FALSE
20050207	1045	Complaint of Pain	S	FALSE
20050207	1050	Property Damage	S	FALSE
20050207	1630	Property Damage	N	TRUE
20050207	1820	Property Damage	N	FALSE
20050208	0315	Property Damage	S	FALSE
20050208	0920	Property Damage	N	FALSE
20050208	1400	Property Damage	S	FALSE
20050208	1506	Property Damage	S	FALSE
20050208	1553	Property Damage	N	TRUE
20050208	1642	Severe Injury	N	FALSE
20050208	1730	Complaint of Pain	S	FALSE
20050208	1735	Property Damage	N	TRUE
20050208	2215	Property Damage	N	FALSE
20050209	0630	Complaint of Pain	S	FALSE
20050209	0700	Property Damage	S	TRUE
20050209	0855	Complaint of Pain	N	FALSE
20050209	0914	Complaint of Pain	S	TRUE
20050209	1030	Visible Injury	S	FALSE
20050209	1150	Property Damage	S	TRUE
20050209	1205	Visible Injury	N	FALSE
20050209	1305	Complaint of Pain	S	FALSE
20050209	1720	Property Damage	N	FALSE
20050210	0745	Property Damage	N	TRUE
20050210	0750	Complaint of Pain	N	FALSE
20050210	0855	Property Damage	N	TRUE
20050210	1430	Property Damage	N	TRUE
20050210	1710	Property Damage	N	FALSE
20050210	2007	Property Damage	N	FALSE
20050211	0439	Complaint of Pain	N	TRUE
20050211	0445	Complaint of Pain	N	FALSE
20050211	0600	Visible Injury	N	FALSE
20050211	1255	Complaint of Pain	S	FALSE
20050211	1735	Property Damage	N	FALSE
20050211	2040	Property Damage	S	FALSE
20050211	2050	Property Damage	S	FALSE
20050211	2140	Complaint of Pain	N	FALSE
20050211	2150	Property Damage	S	FALSE
20050212	0115	Visible Injury	S	FALSE
20050212	0150	Property Damage	N	FALSE
20050212	1300	Complaint of Pain	S	FALSE
20050212	2010	Property Damage	N	FALSE
20050212	2325	Visible Injury	S	FALSE
20050213	0205	Property Damage	S	FALSE
20050213	2300	Property Damage	N	FALSE
20050214	1400	Property Damage	S	TRUE
20050214	1410	Property Damage	S	TRUE
20050214	1920	Complaint of Pain	S	FALSE
20050214	2205	Property Damage	N	FALSE
20050215	0748	Property Damage	N	FALSE
20050215	0749	Property Damage	N	FALSE
20050215	0812	Property Damage	S	TRUE
20050215	0841	Property Damage	N	FALSE
20050215	0900	Property Damage	S	FALSE
20050215	1000	Property Damage	S	TRUE
20050215	1045	Property Damage	S	FALSE
20050215	1220	Property Damage	S	TRUE
20050216	0632	Complaint of Pain	S	FALSE
20050216	0705	Complaint of Pain	N	FALSE
20050216	0730	Property Damage	S	FALSE
20050216	0731	Property Damage	S	FALSE
20050216	0939	Property Damage	N	TRUE
20050216	1500	Complaint of Pain	S	FALSE
20050216	1530	Property Damage	S	FALSE
20050217	0815	Complaint of Pain	S	TRUE
20050217	1000	Property Damage	N	FALSE
20050217	1124	Property Damage	S	FALSE
20050217	1215	Property Damage	N	FALSE
20050217	1440	Property Damage	S	FALSE
20050217	1457	Complaint of Pain	N	FALSE
20050218	0920	Property Damage	N	TRUE
20050218	1055	Complaint of Pain	S	TRUE
20050218	2120	Property Damage	S	FALSE
20050218	2219	Complaint of Pain	N	FALSE
20050219	0526	Complaint of Pain	N	FALSE
20050219	0545	Property Damage	S	FALSE
20050219	0556	Property Damage	S	FALSE
20050219	0556	Property Damage	S	TRUE
20050219	0557	Property Damage	S	FALSE
20050219	0558	Complaint of Pain	S	FALSE
20050219	0705	Property Damage	S	FALSE
20050219	0830	Property Damage	N	FALSE
20050219	2216	Property Damage	N	FALSE
20050220	0140	Property Damage	S	FALSE
20050220	1200	Property Damage	S	FALSE
20050220	1330	Complaint of Pain	N	FALSE
20050220	1400	Complaint of Pain	N	FALSE
20050220	1625	Property Damage	N	FALSE
20050220	1626	Property Damage	N	FALSE
20050220	1645	Property Damage	N	FALSE
20050220	1811	Property Damage	S	FALSE
20050220	2305	Visible Injury	S	FALSE
20050220	2319	Complaint of Pain	N	FALSE
20050221	0158	Property Damage	N	FALSE
20050221	0403	Property Damage	S	FALSE
20050221	0555	Property Damage	N	FALSE
20050221	1240	Property Damage	N	FALSE
20050221	1920	Property Damage	N	TRUE
20050221	2320	Property Damage	S	FALSE
20050222	0545	Complaint of Pain	N	FALSE
20050222	1345	Property Damage	N	TRUE
20050223	0815	Property Damage	S	FALSE
20050223	1010	Property Damage	N	TRUE
20050224	0555	Complaint of Pain	N	FALSE
20050224	0917	Property Damage	N	FALSE
20050224	0935	Property Damage	N	TRUE
20050224	1240	Property Damage	N	FALSE
20050224	1330	Property Damage	N	FALSE
20050224	1400	Property Damage	N	TRUE
20050224	1935	Property Damage	N	FALSE
20050225	0210	Property Damage	S	FALSE
