Date	Time	Severity	Direction	Truck	Postmile
20050101	0220	Property Damage	S	FALSE	19.81
20050101	0350	Property Damage	S	FALSE	19.567
20050101	1312	Property Damage	S	FALSE	15.16
20050101	2320	Property Damage	N	FALSE	23.28
20050102	2330	Complaint of Pain	S	FALSE	13.339
20050103	0835	Property Damage	S	FALSE	13.64
20050103	1120	Property Damage	S	FALSE	26.55
20050103	1458	Property Damage	S	FALSE	22.47
20050103	1500	Complaint of Pain	N	FALSE	27.387
20050103	1515	Complaint of Pain	N	FALSE	19.73
20050103	1625	Complaint of Pain	S	FALSE	19.89
20050103	1736	Property Damage	N	FALSE	14.41
20050104	0925	Property Damage	S	TRUE	12.11
20050104	1200	Property Damage	S	TRUE	22.41
20050104	1723	Property Damage	N	FALSE	18.316
20050104	1730	Visible Injury	S	FALSE	24.48
20050104	2045	Complaint of Pain	S	FALSE	9.02
20050105	0620	Complaint of Pain	N	FALSE	26.333
20050105	0629	Complaint of Pain	N	FALSE	12.01
20050105	0722	Property Damage	N	FALSE	5.057
20050105	0830	Property Damage	N	TRUE	18.314
20050105	0920	Property Damage	S	TRUE	13.16
20050105	1145	Property Damage	N	FALSE	14.761
20050105	1227	Property Damage	S	TRUE	23.88
20050105	1437	Property Damage	S	TRUE	6.48
20050105	1545	Complaint of Pain	N	TRUE	9.77
20050106	0038	Severe Injury	S	FALSE	6
20050106	0115	Visible Injury	S	FALSE	15.199
20050106	0435	Complaint of Pain	S	FALSE	14.36
20050106	0515	Property Damage	N	FALSE	26.43
20050106	0520	Property Damage	N	FALSE	26.47
20050106	0602	Complaint of Pain	S	TRUE	15.489
20050106	0608	Complaint of Pain	S	FALSE	14.36
20050106	0720	Property Damage	S	FALSE	15.437
20050106	0950	Property Damage	S	FALSE	13.99
20050106	1525	Property Damage	S	FALSE	15.08
20050106	1840	Property Damage	S	FALSE	23.56
20050107	0820	Property Damage	N	FALSE	32.211
20050107	0907	Property Damage	S	FALSE	14.14
20050107	1030	Property Damage	N	FALSE	18.33
20050107	1236	Property Damage	S	TRUE	25.26
20050107	1241	Property Damage	S	FALSE	24.11
20050107	1505	Property Damage	N	TRUE	6.68
20050107	1520	Complaint of Pain	N	TRUE	16.71
20050107	1945	Property Damage	N	FALSE	18.42
20050107	2000	Complaint of Pain	S	FALSE	22.91
20050107	2352	Visible Injury	S	FALSE	12.99
20050108	1500	Property Damage	N	FALSE	22.51
20050108	1930	Property Damage	N	FALSE	21.97
20050108	1945	Property Damage	S	FALSE	11.861
20050109	0155	Property Damage	N	FALSE	18.36
20050109	0332	Visible Injury	S	FALSE	21.75
20050110	0027	Property Damage	S	FALSE	18.55
20050110	0735	Property Damage	S	TRUE	14.91
20050110	0750	Complaint of Pain	S	FALSE	11.861
20050110	0845	Property Damage	S	TRUE	9.624
20050110	0900	Property Damage	S	TRUE	9.37
20050110	1115	Complaint of Pain	S	TRUE	23.99
