id,name,totalDocks,streetAddress,streetAddress/address2,neighborhood,postalCode,latitude,longitude,loc,entityTitle,@context,@type,@id
72,W 52 St & 11 Ave,39,W 52 St & 11 Ave,,Hell's Kitchen,10019,40.76727216,-73.99392888,"[ -73.99392888, 40.76727216 ]",w_52_st_11_ave,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/w_52_st_11_ave
79,Franklin St & W Broadway,33,Franklin St & W Broadway,,Tribeca,10013,40.71911552,-74.00666661,"[ -74.00666661, 40.71911552 ]",franklin_st_w_broadway,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/franklin_st_w_broadway
82,St James Pl & Pearl St,26,St James Pl & Pearl St,,Two Bridges,10038,40.71117416,-74.00016545,"[ -74.00016545, 40.71117416 ]",st_james_pl_pearl_st,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/st_james_pl_pearl_st
83,Atlantic Ave & Fort Greene Pl,62,Atlantic Ave & Fort Greene Pl,,Fort Greene,11217,40.68382604,-73.97632328,"[ -73.97632328, 40.68382604 ]",atlantic_ave_fort_greene_pl,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/atlantic_ave_fort_greene_pl
116,W 17 St & 8 Ave,39,W 17 St & 8 Ave,,Chelsea,10011,40.74177603,-74.00149746,"[ -74.00149746, 40.74177603 ]",w_17_st_8_ave,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/w_17_st_8_ave
119,Park Ave & St Edwards St,19,Park Ave & St Edwards St,,Fort Greene,11205,40.69608941,-73.97803415,"[ -73.97803415, 40.69608941 ]",park_ave_st_edwards_st,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/park_ave_st_edwards_st
120,Lexington Ave & Classon Ave,19,Lexington Ave & Classon Ave,,Bedford-Stuyvesant,11238,40.68676793,-73.95928168,"[ -73.95928168, 40.68676793 ]",lexington_ave_classon_ave,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/lexington_ave_classon_ave
127,Barrow St & Hudson St,31,Barrow St & Hudson St,,West Village,10014,40.73172428,-74.00674436,"[ -74.00674436, 40.73172428 ]",barrow_st_hudson_st,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/barrow_st_hudson_st
128,MacDougal St & Prince St,30,MacDougal St & Prince St,,SoHo,10012,40.72710258,-74.00297088,"[ -74.00297088000001, 40.72710258 ]",macdougal_st_prince_st,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/macdougal_st_prince_st
137,E 56 St & Madison Ave,46,E 56 St & Madison Ave,,Midtown,10022,40.761628,-73.972924,"[ -73.97292400000001, 40.761628 ]",e_56_st_madison_ave,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/e_56_st_madison_ave
143,Clinton St & Joralemon St,25,Clinton St & Joralemon St,,Brooklyn Heights,11201,40.69239502,-73.99337909,"[ -73.99337909, 40.69239502 ]",clinton_st_joralemon_st,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/clinton_st_joralemon_st
144,Nassau St & Navy St,19,Nassau St & Navy St,,Vinegar Hill,11201,40.69839895,-73.98068914,"[ -73.98068914, 40.69839895 ]",nassau_st_navy_st,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/nassau_st_navy_st
146,Hudson St & Reade St,39,Hudson St & Reade St,,Tribeca,10013,40.71625008,-74.0091059,"[ -74.00910589999999, 40.71625008 ]",hudson_st_reade_st,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/hudson_st_reade_st
147,Greenwich St & Warren St,33,Greenwich St & Warren St,,Tribeca,10007,40.71542197,-74.01121978,"[ -74.01121978, 40.71542197 ]",greenwich_st_warren_st,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/greenwich_st_warren_st
150,E 2 St & Avenue C,31,E 2 St & Avenue C,,East Village,10009,40.7208736,-73.98085795,"[ -73.98085795, 40.7208736 ]",e_2_st_avenue_c,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/e_2_st_avenue_c
151,Cleveland Pl & Spring St,33,Cleveland Pl & Spring St,,Nolita,10012,40.7218158,-73.99720307,"[ -73.99720307, 40.7218158 ]",cleveland_pl_spring_st,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/cleveland_pl_spring_st
152,Warren St & Church St,29,Warren St & Church St,,Tribeca,10007,40.71473993,-74.00910627,"[ -74.00910627, 40.71473993 ]",warren_st_church_st,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/warren_st_church_st
153,E 40 St & 5 Ave,55,E 40 St & 5 Ave,,Midtown,10016,40.75206231,-73.9816324,"[ -73.9816324043, 40.752062307 ]",e_40_st_5_ave,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/e_40_st_5_ave
157,Henry St & Atlantic Ave,23,Henry St & Atlantic Ave,,Brooklyn Heights,11201,40.69089272,-73.99612349,"[ -73.99612349, 40.69089272 ]",henry_st_atlantic_ave,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/henry_st_atlantic_ave
160,E 37 St & Lexington Ave,26,E 37 St & Lexington Ave,,Murray Hill,10016,40.748306,-73.978045,"[ -73.97804499999999, 40.748306 ]",e_37_st_lexington_ave,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/e_37_st_lexington_ave
161,LaGuardia Pl & W 3 St,35,LaGuardia Pl & W 3 St,,Greenwich Village,10012,40.72917025,-73.99810231,"[ -73.99810230999999, 40.72917025 ]",laguardia_pl_w_3_st,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/laguardia_pl_w_3_st
164,E 47 St & 2 Ave,47,E 47 St & 2 Ave,,Midtown,10017,40.75323098,-73.97032517,"[ -73.97032517, 40.75323098 ]",e_47_st_2_ave,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/e_47_st_2_ave
167,E 39 St & 3 Ave,44,E 39 St & 3 Ave,,Murray Hill,10016,40.7489006,-73.97604882,"[ -73.97604882, 40.7489006 ]",e_39_st_3_ave,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/e_39_st_3_ave
168,W 18 St & 6 Av,47,W 18 St & 6 Av,,Flatiron District,10011,40.73971301,-73.99456405,"[ -73.99456404999999, 40.73971301 ]",w_18_st_6_av,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/w_18_st_6_av
