artist,price
Akira Yamaguchi,249095
Takako Yamaguchi,137204
Ryuki Yamamoto,127115
Yakushev,65000
Takeo Yamaguchi,56847
Vasili Nikolaevich Yakovlev,47194
Takato Yamamoto,43571
Georgy Bogdanovich Yakulov,26872
Kaoru Yamaguchi,24274
Attributed to  Doan Yamada,24000
Ekrem Yalcindag,23373
Kazuo Yagi,22127
Soichi Yamaguchi,20611
Yakhyo,20167
Boris Yakovlev,19855
Alexander Evgenievich Yakovlev,19825
Noriko Yamaguchi,18806
Ya Ming,17375
Valeriy Ivanovich Yakobi,16757
Masaaki Yamada,16370
Alexander Yakut,16320
Artur Yakobov,14929
Satoshi Yabuushi,14600
Sobi Yamada,14083
Vladimir Fedorovich Yakunin,13761
Nazar Yahya,12500
Jose Yalenti,11078
Owen Yalandja,9820
Ai Yamaguchi,9508
Pavel Filippovich Yakovlev,9500
Saad Yagan,8750
Hoshun Yamaguchi,8739
Amri Yahya,8191
Tetyana Nilovna Yablonska,7693
Sharon Ya'ari,7455
Kamel Yahiaoui,7355
Masao Yamamoto,7316
Noriko Yamamoto,7200
Shikanosuke Yagaki,7164
Najaf Ya Shah,6368
Banaumbur Yalkarriwuy,6319
Alexandra Yakobson,6288
Ya Sheng,6206
Moico Yaker,5000
Yuval Yairi,4858
Andrey Yakovlev,4848
Elena Nilovna Yablonskaya,4200
Omar Yahya,3927
Tomoya Yamaguchi,3800
Keishi Yamada,3539
