,text,size
0,website,119
1,organization,106
2,community,91
3,services,76
4,grant,75
5,staff,72
6,service,70
7,programs,67
8,program,62
9,board,62
10,years,61
11,strategic,58
12,support,58
13,work,57
14,current,54
15,’,54
16,plan,53
17,marketing,50
18,year,48
19,mission,47
20,information,46
21,time,46
22,development,45
23,brand,44
24,donors,43
25,site,42
26,€™,40
27,key,39
28,provide,37
29,taproot,37
30,members,37
31,resources,36
32,foundation,34
33,funding,34
34,public,34
35,strategy,33
36,school,32
37,develop,31
38,people,31
39,process,30
40,potential,29
41,fundraising,28
42,increase,28
43,annual,28
44,volunteers,27
45,growth,27
46,report,26
47,serve,26
48,web,26
49,create,26
50,make,25
51,capacity,24
52,center,24
53,agency,24
54,identity,23
55,education,23
56,students,22
57,clients,22
58,effective,22
59,health,22
60,efforts,22
61,planning,22
62,impact,22
63,organizational,22
64,messages,22
65,online,22
66,â,21
67,funders,21
68,management,21
69,donor,21
70,project,21
71,goals,20
72,organizations,20
73,communications,20
74,order,20
75,professional,20
76,message,20
77,materials,20
78,financial,20
79,database,20
80,youth,20
81,past,20
82,families,20
83,effectively,19
84,social,19
85,ability,19
86,data,19
87,messaging,19
88,children,18
89,branding,18
90,assistance,18
91,critical,18
92,brochure,18
93,build,18
94,building,18
95,strong,17
96,area,17
97,including,17
98,reach,17
99,care,17
100,volunteer,17
101,design,17
102,communicate,17
103,system,17
104,expertise,17
105,future,17
106,important,17
107,based,16
108,access,16
109,director,16
110,communities,16
111,team,16
112,success,16
113,individual,16
114,opportunities,15
115,expand,15
116,individuals,15
117,improve,15
118,partners,15
119,leadership,15
120,high,15
121,audiences,15
122,long,15
123,visual,15
124,clear,15
125,media,15
126,schools,15
127,training,14
128,number,14
129,developing,14
130,communication,14
131,outreach,14
132,stakeholders,14
133,national,14
134,base,14
135,needed,14
136,working,14
137,local,14
138,change,14
139,content,14
140,limited,14
141,focus,13
142,audience,13
143,housing,13
144,vision,13
145,quality,13
146,business,13
147,part,13
148,tool,13
