id,code,name,population,markets,popPerMkt
0,US,United States,314112078,8139,38593
1,AL,Alabama,4817484,140,34411
2,AK,Alaska,731081,31,23583
4,AZ,Arizona,6556236,81,80941
5,AR,Arkansas,2949300,92,32058
6,CA,California,38062780,758,50215
8,CO,Colorado,5191709,157,33068
9,CT,Connecticut,3594362,156,23041
10,DE,Delaware,916881,29,31617
11,DC,District of Columbia,635040,35,18144
12,FL,Florida,19355257,224,86407
13,GA,Georgia,9919000,138,71877
15,HI,Hawaii,1392766,95,14661
16,ID,Idaho,1595590,69,23124
17,IL,Illinois,12873763,336,38315
18,IN,Indiana,6537632,171,38232
19,IA,Iowa,3075935,229,13432
20,KS,Kansas,2885966,92,31369
21,KY,Kentucky,4383465,131,33462
22,LA,Louisiana,4604744,66,69769
23,ME,Maine,1328592,93,14286
24,MD,Maryland,5891819,147,40080
25,MA,Massachusetts,6655829,289,23031
26,MI,Michigan,9884781,330,29954
27,MN,Minnesota,5380615,186,28928
28,MS,Mississippi,2986137,182,16407
29,MO,Missouri,6025281,246,24493
30,MT,Montana,1005163,66,15230
31,NE,Nebraska,1855487,93,19951
32,NV,Nevada,2755245,46,59897
33,NH,New Hampshire,1321297,96,13764
34,NJ,New Jersey,8876000,139,63856
35,NM,New Mexico,2084594,69,30212
36,NY,New York,19607140,637,30780
37,NC,North Carolina,9748181,229,42568
38,ND,North Dakota,701705,63,11138
39,OH,Ohio,11550901,300,38503
40,OK,Oklahoma,3817059,69,55320
41,OR,Oregon,3898684,73,53407
42,PA,Pennsylvania,12770043,290,44035
44,RI,Rhode Island,1052637,57,18467
45,SC,South Carolina,4722621,127,37186
46,SD,South Dakota,834504,38,21961
47,TN,Tennessee,6455177,99,65204
48,TX,Texas,26094422,183,142592
49,UT,Utah,2855194,40,71380
50,VT,Vermont,626138,100,6261
51,VA,Virginia,8193422,246,33307
53,WA,Washington,6896325,159,43373
54,WV,West Virginia,1856313,90,20626
55,WI,Wisconsin,5724888,286,20017
56,WY,Wyoming,576893,41,14071
