city,State,lon,lat
Virginia Beach,Virginia,-76.135361,36.841885
Douglasville,Georgia,-84.7689,33.7196
Kalamazoo,Michigan,-85.57502,42.29596
New York,New York,-73.9493,40.7939
Wilmington,Delaware,-75.534417,39.7421
Washington,District of Columbia,-77.03205,38.916998
Gettysburg,Pennsylvania,-77.2316,39.8313
New York,New York,-73.9385,40.8462
Minneapolis,Minnesota,-93.2591,45.0044
Richmond,Virginia,-77.4886,37.5583
Highlands,New Jersey,-73.994358,40.404837
Wisconsin Rapids,Wisconsin,-89.83105,44.394902
Philadelphia,Pennsylvania,-75.18142,39.93216
San Mateo,California,-122.3098753,37.5433429
Philadelphia,Pennsylvania,-75.19204,39.9373
Tillamook,Oregon,-123.844,45.4569
Morris,Illinois,-88.425153,41.356286
Baltimore,Maryland,-76.611,39.3272
Philadelphia,Pennsylvania,-75.18706,39.98867
Indianapolis,Indiana,-86.15875,39.82604
Carson City,Nevada,-119.7678,39.16257
Attalla,Alabama,-86.090988,34.019132
Larimer,Colorado,-105.073,40.3954
Indianapolis,Indiana,-86.0476,39.8481
Philadelphia,Pennsylvania,-75.22461,39.96498
New York,New York,-73.9858,40.7682
Philadelphia,Pennsylvania,-75.228324,39.935556
Millersburg,Kentucky,-84.1487,38.3004
Chicago,Illinois,-87.591308,41.784206
Austin,Texas,-97.7018,30.4258
New York,New York,-73.9757,40.7818
New York,New York,-73.9501,40.7737
Dothan,Alabama,-85.450141,31.232699
Cedar Rapids,Iowa,-91.6626534,41.972837
New York,New York,-73.9464,40.7809
New York,New York,-73.967,40.7936
Brunswick,Maryland,-77.6277075,39.313066
Russell Springs,Kentucky,-85.076795,37.032535
Annapolis,Maryland,-76.6123,39.006
Jupiter,Florida,-80.1296,26.8838
Abbeville,South Carolina,-82.380242,34.177429
ABBEVILLE,Alabama,-85.2466,31.5633
Abbotsford,Wisconsin,-90.307145,44.945665
Minneapolis,Minnesota,-93.2629,44.9556
Aberdeen,South Dakota,-98.4866,45.4631
Abilene,Kansas,-97.2139,38.9153
Abingdon,Virginia,-81.977406,36.708734
New York,New York,-74.0053,40.7372
Abington,Massachusetts,-70.9369,42.119
Clarks Summit,Pennsylvania,-75.7746,41.425
Albququerque,New Mexico,-106.565838,35.103988
Albuquerque,New Mexico,-106.633172,35.082375
Mount Bethe,Pennsylvania,-75.0998,40.8743
Town Hill,Maine,-68.9716,44.5908
Opelousas,Louisiana,-92.0634,30.2147
Rome,New York,-75.4541,43.2098
Birch Tree,Missouri,-91.492638,36.991165
Acton,Massachusetts,-71.47415,42.47518
Acushnet,Massachusetts,-70.8999,41.7199
Acworth,Georgia,-84.6767,34.0657
Ada,Oklahoma,-96.6797,34.7739
Ada,Michigan,-85.4889683,42.9553715
Columbia,Kentucky,-85.297,37.1043
Gettysburg,Pennsylvania,-77.237298,39.825018
Gettysburg,Pennsylvania,-77.200397,39.793778
Adams,Massachusetts,-73.1158,42.6293
Washington,District of Columbia,-77.0426,38.9226
Brooklyn,New York,-74.0231,40.6875
Addison,Illinois,-87.9934,41.9321
Adel,Iowa,-94.0175,41.6144
Victorville,California,-117.405,34.5593
Adrian,Michigan,-84.0351,41.9002
Concord,North Carolina,-80.670172,35.414038
Berlin,Maryland,-75.2113,38.3388
Memphis,Tennessee,-89.801873,35.127315
Gilbert,Arizona,-111.726,33.3219
Phoenix,Arizona,-111.983133,33.331186
Aiken,South Carolina,-81.7084941,33.5568819
Modesto,California,-120.968681,37.626471
Brooksville,Florida,-82.441117,28.48114
Pahoa,Hawaii,-154.951,19.4975
Baker,Florida,-86.7014,30.7979
Akron,Iowa,-96.5573,42.8309
Hogansburg,New York,-74.6677,44.9739
Honolulu,Hawaii,-157.84505,21.291364
Gainesville,Florida,-82.352515,29.710665
Burlington,North Carolina,-79.4357,36.0943
Alameda,California,-122.277,37.7742
Alamo,Nevada,-115.1435,37.33075
Alamogordo,New Mexico,-105.9606168,32.9126233
Alamogordo,New Mexico,-105.9606,32.92649
Alamosa,Colorado,-105.864687,37.467893
Albany,Georgia,-84.15366,31.57684
Albany,Oregon,-123.105896,44.634984
Albert Lea,Minnesota,-93.369112,43.650982
Portland,Oregon,-122.65,45.5591
ALBERTA,Alabama,-87.4101,32.2319
Albion,Michigan,-85.4148,41.3959
Albuquerque,New Mexico,-106.656754,35.085834
Albuquerque,New Mexico,-106.55762,35.1506
Albuquerque,New Mexico,-106.578,35.0553
Harrisville,Michigan,-83.2973,44.6547
Alderson,West Virginia,-80.642024,37.725954
Maplewood,Minnesota,-93.0877,44.9609
Alexander City,Alabama,-85.9549,32.9442
Alexandria Bay,New York,-75.9157,44.3314
Alexandria,Virginia,-77.043,38.8048
Alexandria,Minnesota,-95.376724,45.890763
alfred,New York,-77.790122,42.253728
Algoma,Wisconsin,-87.4363,44.6077
Algonquin,Illinois,-88.293,42.165
Alhambra,California,-118.123,34.094
Kailua-Kona,Hawaii,-155.982,19.6144
Salinas,California,-121.634203,36.673352
Homestead,Florida,-80.516728,25.513552
Columbia,South Carolina,-81.0358,33.9847
Columbia,South Carolina,-81.0044,33.9874
Waukon,Iowa,-91.4742,43.2569
Allegan,Michigan,-85.8584,42.5287
Sparta,North Carolina,-81.122593,36.503003
Iola,Kansas,-95.4055011,37.922165
Lansing,Michigan,-84.526307,42.729961
Allendale,South Carolina,-81.3191,33.0044
Allentown,Pennsylvania,-75.4942,40.6008
Allentown,Pennsylvania,-75.490183,40.608431
Alliance,Nebraska,-102.871,42.0971
Alliance,Ohio,-81.1024,40.9216
Ft. Myers,Florida,-81.89128,26.59521
Allston,Massachusetts,-71.1299,42.3629
Boston,Massachusetts,-71.1378418,42.353384
Alma,Nebraska,-99.3625,40.1008
Alma,Michigan,-84.656984,43.38027
Almont,Michigan,-83.0475,42.9216
Aloha,Oregon,-122.87,45.4941
Alpena,Michigan,-83.429897,45.061184
Cascade,Idaho,-115.998,44.4251
ALPHARETTA,Georgia,-84.29514,34.075892
Comstock Park,Michigan,-85.4386,44.3365
Alsip,Illinois,-87.700424,41.665699
Altadena,California,-118.15813,34.200379
Altamont,New York,-74.0325,42.7013
Altavista,Virginia,-79.2838,37.1185
Alton,Illinois,-90.185394,38.895809
Altoona,Pennsylvania,-78.2462,40.6787
Altus,Oklahoma,-99.3336,34.6491
San Jose,California,-121.829184,37.365612
Alva,Oklahoma,-98.6602,36.8083
Jackson,California,-120.7747,38.34751
Pine Grove,California,-120.6583,38.41303
Sutter Creek,California,-120.8017,38.39283
Ambler,Pennsylvania,-75.225339,40.153274
Ambridge,Pennsylvania,-80.225,40.5819
Amelia Court House,Virginia,-77.984421,37.328752
Amelia Island,Florida,-81.454531,30.579786
,New York,-73.5549,41.8513
American Falls,Idaho,-120.173,40.5432
National Harbor,Maryland,-77.01422,38.783762
Grand Junction,Colorado,-108.564,39.0682
DeRidder,Louisiana,-93.2862,30.8469
Amery,Wisconsin,-92.3624,45.3072
Ames,Iowa,-93.6176,42.0249
Amherst,New Hampshire,-71.6256,42.8646
Amherst Center,Massachusetts,-72.519422,42.374858
Amherst,Massachusetts,-71.8003,42.3658
Amityville,New York,-73.4204356,40.6893186
Amma,West Virginia,-81.255883,38.583305
Anaconda,Montana,-112.948115,46.129234
Anacortes,Washington,-122.609181,48.516974
Anamoose,North Dakota,-100.24061,47.880722
Anamosa,Iowa,-91.2795,42.1083
Anchorage,Alaska,-152.571,64.3172
Anchorage,Alaska,-149.891,61.2195
Anderson,South Carolina,-82.652183,34.506745
Lawrenceburg,Kentucky,-84.917486,38.050707
Xenia,Ohio,-83.8824,39.7668
Cincinnati,Ohio,-84.350477,39.078417
Anderson,California,-122.408,40.4487
Chicago,Illinois,-87.6687,41.978
Andover,Minnesota,-93.3573105,45.2192618
Andover,Massachusetts,-71.138738,42.653466
Andrews,North Carolina,-83.8232,35.2027
Angelica,New York,-78.026857,42.309251
Angels Camp,California,-120.5427,38.072158
Ann Arbor,Michigan,-83.7465,42.2838
Anna,Illinois,-89.2093,37.4604
Annandale,Virginia,-77.1743,38.8348
Annapolis,Maryland,-76.48621,38.97658
Annapolis,Maryland,-76.5556,38.9763
Saint Croix,Virgin Islands,-64.8799,17.7099
Anniston,Alabama,-85.832,33.6625
Anoka,Minnesota,-93.384261,45.197726
Blaine,Minnesota,-93.2525239,45.13304
Columbia Heights,Minnesota,-93.2459,45.0489
Chester Springs,Pennsylvania,-75.641899,40.079648
Wadesboro,North Carolina,-80.052567,34.940829
Anthem,Arizona,-112.12314,33.849663
Anthony,Kansas,-98.038,37.1521
Antigo,Wisconsin,-89.15228,45.14188
Antioch,California,-121.844338,38.002918
Bellaire,Michigan,-85.2095,44.9718
Gray,Tennessee,-82.4819,36.4183
Lubbock,Texas,-101.8364,33.57785
Idalou,Texas,-101.611862,33.666336
Apple Valley,Minnesota,-93.2072,44.7309
Appleton,Wisconsin,-88.40703,44.26201
Appleton,Wisconsin,-88.406203,44.261961
Aptos,California,-121.924643,36.988442
Middletown,Rhode Island,-71.2842,41.521
Middletown,Rhode Island,-71.2732884,41.5295811
ARAB,Alabama,-86.495876,34.320401
Arbuckle,California,,
Arcade,New York,-78.4308288,42.5337764
Ironton,Missouri,-90.6278618,37.5945109
Arcata,California,-124.087,40.8686
Arcata,California,-124.083,40.8665
The Plains,Virginia,-77.7875,38.851
Corpus Christi,Texas,-97.4258,27.7763
Standish,Michigan,-83.961296,43.983428
