LivingArea,NumBedrooms,Pool,ListPrice,DwellingType
3054,4,Private,675000,Single Family - Detached
2230,4,Private,475000,Single Family - Detached
1601,3,Private,279900,Single Family - Detached
2440,4,None,229900,Single Family - Detached
3980,5,None,385250,Single Family - Detached
1243,3,None,155000,Single Family - Detached
1618,2,Community,218400,Patio Home
3393,7,Private,450000,Single Family - Detached
2711,3,None,349900,Single Family - Detached
2243,3,Private,310000,Single Family - Detached
760,2,None,77000,Mfg/Mobile Housing
2258,4,None,229900,Single Family - Detached
1421,3,Community,149900,Single Family - Detached
3432,4,Private,210000,Single Family - Detached
1262,3,Community,149900,Single Family - Detached
1997,2,None,429900,Single Family - Detached
1958,3,Community,249000,Single Family - Detached
2502,3,Private,569000,Single Family - Detached
1346,4,None,108695,Single Family - Detached
948,2,Community,140000,Patio Home
1850,3,Community,319900,Single Family - Detached
4179,5,None,399900,Single Family - Detached
1263,3,None,164900,Single Family - Detached
1345,3,Community,152000,Mfg/Mobile Housing
2778,3,Private,589900,Single Family - Detached
1946,4,Private,205000,Single Family - Detached
1650,3,None,142000,Single Family - Detached
1526,3,None,150000,Single Family - Detached
2192,4,None,165000,Single Family - Detached
1040,2,Community,229500,Townhouse
2344,4,Private,499000,Single Family - Detached
2370,3,None,194000,Single Family - Detached
1566,3,Community,159900,Townhouse
1338,4,Private,145500,Single Family - Detached
1161,2,Community,79900,Townhouse
1392,3,None,154900,Single Family - Detached
1763,2,Community,258500,Single Family - Detached
2328,5,None,264500,Single Family - Detached
1820,4,Private,264900,Single Family - Detached
1380,3,None,160000,Single Family - Detached
3927,4,Private,1100000,Single Family - Detached
3087,5,Private,415000,Single Family - Detached
1899,4,Private,203900,Single Family - Detached
1785,3,Private,172900,Single Family - Detached
1734,3,None,174500,Single Family - Detached
2530,4,None,264900,Single Family - Detached
1827,2,Community,164999,Single Family - Detached
1440,3,None,190000,Single Family - Detached
1510,3,None,150000,Single Family - Detached
1750,3,None,289000,Single Family - Detached
2051,4,Private,339000,Single Family - Detached
1656,3,None,139900,Single Family - Detached
1772,5,None,235000,Single Family - Detached
2094,4,None,274900,Single Family - Detached
2221,4,Private,364900,Single Family - Detached
4275,4,Both Private & Community,639000,Single Family - Detached
1741,2,Community,160000,Single Family - Detached
1583,2,Community,235000,Single Family - Detached
4266,5,Both Private & Community,1180000,Single Family - Detached
1059,3,None,149999,Single Family - Detached
2830,3,Private,799000,Single Family - Detached
2589,5,Private,419000,Single Family - Detached
3039,4,Community,369900,Single Family - Detached
2011,2,Community,419900,Single Family - Detached
2267,4,Private,179900,Single Family - Detached
1941,3,None,171000,Single Family - Detached
1800,3,Private,315000,Single Family - Detached
1335,2,None,154900,Single Family - Detached
2217,3,Private,307500,Single Family - Detached
1916,3,None,124000,Single Family - Detached
4623,5,Private,479900,Single Family - Detached
4166,5,Private,349950,Single Family - Detached
1246,3,None,79950,Townhouse
1548,3,None,219900,Single Family - Detached
2750,4,Private,289500,Single Family - Detached
1445,3,Community,212000,Single Family - Detached
2718,4,Private,352500,Single Family - Detached
2208,3,Private,499900,Single Family - Detached
1622,2,Community,185000,Townhouse
2375,4,Private,164900,Single Family - Detached
2000,3,Private,549000,Single Family - Detached
1756,4,None,155900,Single Family - Detached
1234,3,Private,187500,Single Family - Detached
595,1,Both Private & Community,82500,Apartment Style/Flat
1457,3,Private,249900,Single Family - Detached
1034,3,None,174900,Single Family - Detached
1221,2,Community,89900,Apartment Style/Flat
1570,4,None,200000,Single Family - Detached
3678,4,Both Private & Community,439000,Single Family - Detached
863,2,Community,114900,Apartment Style/Flat
2368,3,Both Private & Community,367000,Single Family - Detached
2009,3,Private,449000,Single Family - Detached
1930,3,Both Private & Community,289000,Single Family - Detached
1758,2,Community,154900,Single Family - Detached
3376,5,Private,410000,Single Family - Detached
2049,4,Private,276500,Single Family - Detached
3881,6,Private,449900,Single Family - Detached
783,1,Community,67500,Apartment Style/Flat
1758,3,None,214000,Single Family - Detached
2545,4,Private,270900,Single Family - Detached
1458,4,None,59000,Mfg/Mobile Housing
1758,3,None,205000,Single Family - Detached
1480,3,None,148900,Single Family - Detached
1370,3,None,155000,Single Family - Detached
1953,3,Community,449000,Patio Home
4316,4,Private,360000,Single Family - Detached
3342,4,None,565000,Single Family - Detached
1830,3,Private,225000,Single Family - Detached
2587,3,Community,579000,Single Family - Detached
2400,3,None,615000,Single Family - Detached
2534,2,Both Private & Community,259000,Single Family - Detached
3300,4,None,540000,Single Family - Detached
1520,4,None,129000,Single Family - Detached
2220,3,Private,195900,Single Family - Detached
1238,2,Community,156750,Single Family - Detached
2066,3,None,128000,Single Family - Detached
1438,2,Community,310000,Single Family - Detached
2294,4,None,167000,Single Family - Detached
3111,5,None,249997,Single Family - Detached
1862,3,None,144900,Single Family - Detached
1837,3,Private,239900,Single Family - Detached
2300,4,None,236490,Single Family - Detached
1832,3,None,147000,Single Family - Detached
1590,3,None,174900,Single Family - Detached
2924,5,Both Private & Community,375000,Single Family - Detached
1368,3,None,134950,Single Family - Detached
1613,4,None,134900,Single Family - Detached
1931,5,None,144999,Single Family - Detached
2325,3,None,189800,Single Family - Detached
1500,2,Community,219900,Apartment Style/Flat
1153,2,None,142500,Single Family - Detached
2137,3,None,208000,Single Family - Detached
1180,2,None,109900,Single Family - Detached
713,1,Community,130000,Apartment Style/Flat
1719,3,Private,279900,Single Family - Detached
2173,5,None,179900,Single Family - Detached
1582,3,None,142000,Single Family - Detached
2187,3,Community,314750,Single Family - Detached
1709,4,None,159900,Single Family - Detached
1142,3,None,135000,Single Family - Detached
1558,3,Private,190000,Single Family - Detached
1392,2,Community,145000,Townhouse
2400,3,Private,497000,Single Family - Detached
1536,3,None,139900,Single Family - Detached
1238,3,None,129900,Single Family - Detached
2232,4,None,180000,Single Family - Detached
2170,4,None,128000,Single Family - Detached
1275,2,Community,126900,Single Family - Detached
1680,3,Private,171000,Single Family - Detached
1475,3,None,232700,Single Family - Detached
5338,5,Private,1345000,Single Family - Detached
1699,3,Community,234900,Single Family - Detached
1001,3,None,69500,Single Family - Detached
1639,3,None,209000,Single Family - Detached
2038,4,None,174900,Single Family - Detached
3329,4,None,240000,Single Family - Detached
1638,3,None,204900,Single Family - Detached
2832,5,Private,195000,Single Family - Detached
1135,3,Community,179900,Single Family - Detached
4534,5,Private,580000,Single Family - Detached
2159,3,Private,430000,Single Family - Detached
2316,4,Private,230000,Single Family - Detached
1743,3,Private,209900,Single Family - Detached
2162,4,Private,274500,Single Family - Detached
1975,3,Private,409000,Single Family - Detached
2075,3,None,164000,Single Family - Detached
1417,2,Community,625000,Apartment Style/Flat
1587,4,None,162900,Single Family - Detached
1839,3,Private,212500,Single Family - Detached
1861,4,Private,179900,Single Family - Detached
2000,3,None,195000,Single Family - Detached
1660,3,Private,129000,Single Family - Detached
1214,2,None,105000,Apartment Style/Flat
2264,3,None,169000,Single Family - Detached
1552,3,None,120000,Single Family - Detached
2840,2,Community,675000,Townhouse
2941,4,None,424992,Single Family - Detached
1782,3,None,239900,Single Family - Detached
3310,6,None,259900,Single Family - Detached
3332,4,None,174900,Single Family - Detached
1656,3,Community,298900,Single Family - Detached
861,2,Community,95000,Apartment Style/Flat
1776,4,Private,139900,Single Family - Detached
3600,4,None,499900,Single Family - Detached
2105,5,None,296000,Single Family - Detached
1519,3,None,164900,Single Family - Detached
1645,3,Private,166000,Single Family - Detached
2502,4,Community,289500,Single Family - Detached
2376,2,Community,798000,Apartment Style/Flat
1600,3,Private,345000,Single Family - Detached
3217,4,Private,575000,Single Family - Detached
1218,3,None,124900,Single Family - Detached
1557,3,Community,179900,Townhouse
2313,4,Private,245000,Single Family - Detached
1512,4,None,275000,Single Family - Detached
3024,4,None,419900,Single Family - Detached
998,2,None,121000,Single Family - Detached
1290,2,None,123900,Single Family - Detached
1844,4,Private,230000,Single Family - Detached
1515,3,Community,199900,Single Family - Detached
2379,5,None,188900,Single Family - Detached
1519,3,None,154900,Single Family - Detached
1377,3,None,224900,Single Family - Detached
1536,4,Community,209000,Single Family - Detached
1545,2,Community,172900,Single Family - Detached
1410,3,None,199899,Single Family - Detached
2299,3,Community,284900,Single Family - Detached
2913,4,Private,650000,Single Family - Detached
2521,4,Community,174900,Single Family - Detached
1172,3,Community,35900,Apartment Style/Flat
1591,3,None,145000,Single Family - Detached
2012,4,None,139000,Single Family - Detached
1772,3,Private,275000,Single Family - Detached
1192,2,Community,149900,Apartment Style/Flat
1308,2,Community,162500,Single Family - Detached
1454,3,Private,248500,Single Family - Detached
2379,4,None,168000,Single Family - Detached
2538,4,Private,475000,Single Family - Detached
1638,3,None,149900,Single Family - Detached
3920,4,Private,300000,Single Family - Detached
4204,4,Private,466999,Single Family - Detached
1092,3,None,130921,Single Family - Detached
1014,3,None,84900,Single Family - Detached
1496,3,None,145000,Single Family - Detached
2860,4,None,3100,Single Family - Detached
2273,3,Community,316000,Townhouse
519,1,Community,62500,Apartment Style/Flat
1161,2,None,260000,Single Family - Detached
1499,3,Community,167900,Single Family - Detached
2595,4,Private,518000,Single Family - Detached
2168,4,Community,235000,Single Family - Detached
3097,5,Private,374900,Single Family - Detached
4416,5,None,959000,Single Family - Detached
1527,4,None,142000,Single Family - Detached
976,2,Community,53900,Townhouse
1614,3,None,329500,Single Family - Detached
7623,7,Private,1950000,Single Family - Detached
1444,3,Both Private & Community,259000,Single Family - Detached
2105,3,Community,215000,Single Family - Detached
1486,3,Private,224900,Single Family - Detached
2730,4,Private,399000,Single Family - Detached
1879,4,Private,309000,Single Family - Detached
