Carrier,Month,Day,Weekday,Departure (hhhh),Air Time (min),Arrival (hhhh),Distance (miles),Total Delay (min),Status
0,1,21,2,909,82,1143,427,172,1
1,1,12,7,957,48,1122,228,0,0
1,1,17,5,944,55,1116,228,0,0
1,1,23,4,956,58,1120,228,0,0
1,1,19,7,953,46,1102,228,0,0
1,1,14,2,954,49,1059,228,0,0
1,1,27,1,947,51,1055,228,0,0
1,1,29,3,959,52,1123,228,0,0
1,1,25,6,956,45,1106,228,0,0
1,1,16,4,948,50,1104,228,0,0
1,1,18,6,959,50,1110,228,0,0
1,1,26,7,956,58,1122,228,0,0
1,1,24,5,953,48,1103,228,0,0
2,1,25,6,922,355,1252,2586,159,1
2,1,20,1,907,357,1306,2586,40,1
2,1,13,1,900,346,1216,2586,1,1
2,1,15,3,931,330,1252,2586,50,1
2,1,14,2,915,339,1225,2586,16,1
2,1,8,3,913,370,1247,2586,27,1
2,1,4,6,901,352,1235,2586,105,1
2,1,4,6,901,341,1235,2475,72,1
3,1,6,1,932,105,1149,541,147,1
4,1,18,6,926,321,1208,2475,11,1
4,1,19,7,935,309,1209,2248,0,0
4,1,19,7,907,329,1154,2475,0,0
4,1,2,4,945,320,1235,2248,0,0
4,1,1,3,957,344,1306,2248,43,1
4,1,1,3,916,346,1225,2475,0,0
4,1,10,5,956,338,1255,2475,51,1
4,1,11,6,932,311,1339,2248,64,1
4,1,11,6,910,330,1348,2475,63,1
4,1,24,5,935,289,1152,2248,0,0
4,1,24,5,918,321,1209,2475,3,1
4,1,25,6,940,311,1220,2248,5,1
4,1,25,6,931,322,1233,2475,16,1
4,1,26,7,929,343,1245,2248,10,1
4,1,26,7,914,351,1237,2475,0,0
4,1,27,1,933,324,1222,2248,0,0
4,1,27,1,915,344,1236,2475,0,0
4,1,28,2,935,315,1215,2248,0,0
4,1,28,2,912,334,1214,2475,0,0
4,1,29,3,933,313,1235,2248,0,0
4,1,29,3,907,344,1243,2475,0,0
4,1,2,4,918,349,1248,2475,3,1
4,1,20,1,933,331,1222,2248,0,0
4,1,20,1,915,346,1231,2475,0,0
4,1,21,2,937,318,1237,2248,4,1
4,1,21,2,914,336,1233,2475,0,0
4,1,23,4,937,321,1236,2248,3,1
4,1,23,4,927,347,1258,2475,25,1
4,1,8,3,938,320,1220,2248,3,1
4,1,8,3,922,347,1234,2475,7,1
4,1,9,4,929,323,1219,2248,0,0
4,1,9,4,909,344,1215,2475,0,0
4,1,30,4,927,347,1238,2248,3,1
4,1,30,4,913,369,1241,2475,0,0
4,1,31,5,921,377,1259,2475,20,1
4,1,4,6,956,349,1315,2475,66,1
4,1,7,2,951,365,1318,2475,64,1
2,1,9,4,901,352,1218,2586,2,1
3,1,4,6,901,82,1052,541,59,1
4,1,12,7,934,325,1236,2248,1,1
4,1,12,7,917,353,1252,2475,9,1
4,1,13,1,941,322,1234,2248,6,1
4,1,13,1,912,343,1228,2475,0,0
4,1,14,2,936,310,1204,2248,1,1
4,1,14,2,908,328,1201,2475,0,0
4,1,15,3,934,297,1211,2248,0,0
4,1,15,3,916,324,1223,2475,1,1
4,1,16,4,927,303,1222,2248,0,0
4,1,16,4,911,320,1221,2475,0,0
4,1,17,5,934,298,1155,2248,0,0
4,1,17,5,912,327,1210,2475,0,0
4,1,18,6,942,293,1205,2248,7,1
5,1,1,3,914,359,1238,2475,27,1
5,1,6,1,917,323,1217,2475,17,1
5,1,7,2,910,349,1212,2475,10,1
5,1,8,3,923,334,1215,2475,23,1
5,1,10,5,929,339,1245,2475,49,1
5,1,11,6,915,334,1344,2475,94,1
5,1,28,2,903,336,1237,2475,15,1
5,1,29,3,904,340,1230,2475,9,1
