,date,count
0,1/1/13,1136
11,1/2/13,543
22,1/3/13,579
25,1/4/13,605
26,1/5/13,654
27,1/6/13,535
28,1/7/13,613
29,1/8/13,629
30,1/9/13,598
1,1/10/13,582
2,1/11/13,673
3,1/12/13,586
4,1/13/13,531
5,1/14/13,610
6,1/15/13,655
7,1/16/13,619
8,1/17/13,613
9,1/18/13,704
10,1/19/13,636
12,1/20/13,623
13,1/21/13,575
14,1/22/13,654
15,1/23/13,608
16,1/24/13,618
17,1/25/13,703
18,1/26/13,662
19,1/27/13,591
20,1/28/13,612
21,1/29/13,637
23,1/30/13,580
24,1/31/13,612
123,2/1/13,876
134,2/2/13,650
144,2/3/13,648
145,2/4/13,657
146,2/5/13,563
147,2/6/13,603
148,2/7/13,543
149,2/8/13,620
150,2/9/13,503
124,2/10/13,532
125,2/11/13,545
126,2/12/13,629
127,2/13/13,632
128,2/14/13,630
129,2/15/13,689
130,2/16/13,645
131,2/17/13,569
132,2/18/13,564
133,2/19/13,628
135,2/20/13,628
136,2/21/13,561
137,2/22/13,666
138,2/23/13,631
139,2/24/13,603
140,2/25/13,588
141,2/26/13,618
142,2/27/13,578
143,2/28/13,660
151,3/1/13,958
162,3/2/13,712
173,3/3/13,550
176,3/4/13,599
177,3/5/13,613
178,3/6/13,623
179,3/7/13,634
180,3/8/13,711
181,3/9/13,654
152,3/10/13,541
153,3/11/13,622
154,3/12/13,616
155,3/13/13,637
156,3/14/13,642
157,3/15/13,779
158,3/16/13,653
159,3/17/13,618
160,3/18/13,650
161,3/19/13,591
163,3/20/13,637
164,3/21/13,620
165,3/22/13,710
166,3/23/13,614
167,3/24/13,611
168,3/25/13,659
169,3/26/13,594
170,3/27/13,594
171,3/28/13,611
172,3/29/13,698
174,3/30/13,606
175,3/31/13,537
182,4/1/13,819
193,4/2/13,597
204,4/3/13,620
206,4/4/13,622
207,4/5/13,649
208,4/6/13,592
209,4/7/13,596
210,4/8/13,662
211,4/9/13,593
183,4/10/13,641
184,4/11/13,591
185,4/12/13,730
186,4/13/13,644
187,4/14/13,608
188,4/15/13,697
189,4/16/13,588
190,4/17/13,614
191,4/18/13,652
192,4/19/13,718
194,4/20/13,648
195,4/21/13,611
196,4/22/13,614
197,4/23/13,621
198,4/24/13,608
199,4/25/13,645
200,4/26/13,746
201,4/27/13,651
202,4/28/13,633
203,4/29/13,591
205,4/30/13,683
212,5/1/13,871
223,5/2/13,640
234,5/3/13,709
237,5/4/13,643
