Amount,iRate,State,IntRate
20000.00,8.90%,SC,0.09
19200.00,12.12%,TX,0.12
35000.00,21.98%,CA,0.22
9975.00,9.99%,KS,0.10
12000.00,11.71%,NJ,0.12
6000.00,15.31%,CT,0.15
10000.00,7.90%,MA,0.08
33450.00,17.14%,LA,0.17
14675.00,14.33%,CA,0.14
7000.00,6.91%,CA,0.07
2000.00,19.72%,FL,0.20
10625.00,14.27%,CA,0.14
27975.00,21.67%,CT,0.22
34950.00,8.90%,CT,0.09
9600.00,7.62%,DC,0.08
24975.00,15.65%,CA,0.16
10000.00,12.12%,CA,0.12
13900.25,10.37%,OH,0.10
10000.00,9.76%,FL,0.10
5175.00,9.99%,AL,0.10
21975.00,21.98%,TX,0.22
30000.00,19.05%,FL,0.19
6500.00,17.99%,FL,0.18
17400.00,11.99%,AZ,0.12
4000.00,16.82%,GA,0.17
7200.00,7.90%,TX,0.08
8000.00,14.42%,MA,0.14
8000.00,15.31%,CA,0.15
3000.00,8.59%,MA,0.09
14500.00,7.90%,GA,0.08
23850.00,21.00%,LA,0.21
14000.00,12.12%,CA,0.12
34975.00,16.49%,GA,0.16
16000.00,15.80%,WV,0.16
7019.25,13.55%,NH,0.14
7975.00,7.90%,AL,0.08
7200.00,7.90%,GA,0.08
20125.00,7.62%,VA,0.08
11875.00,8.90%,NY,0.09
1850.00,12.49%,MD,0.12
3200.00,17.27%,HI,0.17
12725.00,11.14%,TX,0.11
5500.00,19.13%,DC,0.19
15650.00,21.74%,MD,0.22
9000.00,17.27%,CA,0.17
5000.00,11.86%,TX,0.12
3000.00,10.38%,PA,0.10
19975.00,23.91%,CA,0.24
5450.00,7.49%,WA,0.07
14000.00,12.12%,NY,0.12
8799.04,10.38%,IL,0.10
3000.00,17.44%,MD,0.17
32000.00,17.27%,IL,0.17
22250.00,21.49%,HI,0.21
7300.00,17.80%,NY,0.18
16450.00,11.14%,NC,0.11
2500.00,12.98%,WI,0.13
6000.00,9.99%,FL,0.10
27575.00,14.33%,CA,0.14
1000.00,8.59%,NY,0.09
12000.00,11.49%,IL,0.11
30000.00,10.16%,SD,0.10
13500.00,14.33%,WV,0.14
9000.00,15.80%,OH,0.16
15000.00,9.91%,AK,0.10
5300.00,7.90%,CA,0.08
7000.00,13.11%,NJ,0.13
19975.00,16.29%,CA,0.16
14993.57,18.25%,CA,0.18
8000.00,14.09%,HI,0.14
23947.48,19.03%,CA,0.19
7500.00,8.90%,DE,0.09
16875.00,11.83%,GA,0.12
12000.00,17.27%,NJ,0.17
6000.00,15.31%,MN,0.15
825.00,13.12%,MO,0.13
4500.00,6.76%,WV,0.07
1600.00,10.83%,RI,0.11
10000.00,17.77%,NY,0.18
18525.00,7.90%,GA,0.08
7450.00,13.06%,WA,0.13
