id,code,name,obesity
0,US,United States,28.6
1,AL,Alabama,32.4
2,AK,Alaska,28.4
4,AZ,Arizona,26.8
5,AR,Arkansas,34.6
6,CA,California,24.1
8,CO,Colorado,21.3
9,CT,Connecticut,25
10,DE,Delaware,31.1
11,DC,District of Columbia,22.9
12,FL,Florida,26.4
13,GA,Georgia,30.3
15,HI,Hawaii,21.8
16,ID,Idaho,29.6
17,IL,Illinois,29.4
18,IN,Indiana,31.8
19,IA,Iowa,31.3
20,KS,Kansas,30
21,KY,Kentucky,33.2
22,LA,Louisiana,33.1
23,ME,Maine,28.9
24,MD,Maryland,28.3
25,MA,Massachusetts,23.6
26,MI,Michigan,31.5
27,MN,Minnesota,25.5
28,MS,Mississippi,35.1
29,MO,Missouri,30.4
30,MT,Montana,24.6
31,NE,Nebraska,29.6
32,NV,Nevada,26.2
33,NH,New Hampshire,26.7
34,NJ,New Jersey,26.3
35,NM,New Mexico,26.4
36,NY,New York,25.4
37,NC,North Carolina,29.4
38,ND,North Dakota,31
39,OH,Ohio,30.4
40,OK,Oklahoma,32.5
41,OR,Oregon,26.5
42,PA,Pennsylvania,30
44,RI,Rhode Island,27.3
45,SC,South Carolina,31.7
46,SD,South Dakota,29.9
47,TN,Tennessee,33.7
48,TX,Texas,30.9
49,UT,Utah,24.1
50,VT,Vermont,24.7
51,VA,Virginia,27.2
53,WA,Washington,27.2
54,WV,West Virginia,35.1
55,WI,Wisconsin,29.8
56,WY,Wyoming,27.8
