State,Population,Vehicle Miles Traveled (millions),Fatal Crashes,Deaths
Alabama,4833722,64914,766,852
Alaska,735132,4593,49,51
Arizona,6626624,59574,782,849
Arkansas,2959373,32953,446,483
California,38332521,320784,2772,3000
Colorado,5268367,46606,431,481
Connecticut,3596080,31197,255,276
Delaware,925749,9028,94,99
District of Columbia,646449,3568,20,20
Florida,19552860,191855,2228,2407
Georgia,9992167,108454,1085,1179
Hawaii,1404054,10066,93,102
Idaho,1612136,15937,200,214
Illinois,12882135,103234,895,991
Indiana,6570902,76485,709,783
Iowa,3090416,31274,290,317
Kansas,2893957,30021,327,350
Kentucky,4395295,48061,590,638
Louisiana,4625470,46513,651,703
Maine,1328302,14248,137,145
Maryland,5928814,56221,431,465
Massachusetts,6692824,54792,309,326
Michigan,9895622,94754,876,947
Minnesota,5420380,56685,357,387
Mississippi,2991207,38851,558,613
Missouri,6044171,68789,683,757
Montana,1015165,11660,203,229
Nebraska,1868516,19093,190,211
Nevada,2790136,24189,242,262
New Hampshire,1323459,12720,124,135
New Jersey,8899339,73094,508,542
New Mexico,2085287,25533,274,310
New York,19651127,127726,1121,1199
North Carolina,9848060,103772,1188,1289
North Dakota,723393,9131,133,148
Ohio,11570808,111990,917,989
Oklahoma,3850568,47464,621,678
Oregon,3930065,33373,292,313
Pennsylvania,12773801,99204,1117,1208
Rhode Island,1051511,7901,62,65
South Carolina,4774839,48730,719,767
South Dakota,844877,9002,121,135
Tennessee,6495978,70751,911,995
Texas,26448193,237440,3044,3382
Utah,2900872,26222,202,220
Vermont,626630,7141,63,69
Virginia,8260405,80974,682,740
Washington,6971406,56955,402,436
West Virginia,1854304,18963,305,332
Wisconsin,5742713,54402,507,543
Wyoming,582658,9245,75,87
