,text,size
1,truck,80
2,traffic,73
3,pierpass,71
4,accidents,64
5,peak,59
6,pm,58
7,emissions,56
8,health,55
9,data,50
10,trucks,46
11,accident,43
12,study,41
13,hours,38
14,impacts,32
15,results,29
16,air,29
17,spbp,28
18,port,28
19,area,28
20,freeways,28
21,congestion,27
22,day,27
23,ports,27
25,time,26
27,nighttime,25
28,percent,25
29,average,24
30,freight,24
31,angeles,24
32,vehicle,23
33,operations,23
34,pollution,23
35,simulation,22
36,information,21
37,california,21
38,probability,21
40,based,21
41,no,21
42,car,20
43,complex,20
44,found,20
45,long,20
47,model,20
48,deliveries,19
49,number,19
50,network,19
51,vehicles,19
52,program,18
53,pollutant,18
54,distribution,18
55,drayage,18
56,night,18
57,freeway,17
58,shifting,17
59,total,16
60,costs,16
62,exposure,15
63,concentrations,15
64,resulting,14
65,beach,14
66,vmt,14
67,microscopic,14
68,reduce,14
69,million,14
70,environmental,14
71,emission,14
72,analysis,14
73,table,14
74,daytime,14
75,years,13
76,nox,13
77,impact,13
78,conditions,13
79,relied,13
80,involved,12
81,studies,12
82,related,12
83,approximately,12
84,concentration,12
85,miles,12
86,increased,12
87,moves,12
88,distributions,12
89,test,12
90,midnight,11
91,increase,11
92,year,11
93,benmap,11
94,analyzed,11
95,dispersion,11
96,pollutants,11
97,large,10
98,post,10
99,high,10
100,estimate,10
101,northbound,10
102,percentage,10
103,southbound,10
104,population,10
106,road,10
107,functions,10
108,hourly,9
109,county,9
110,crashes,9
111,calpuff,9
112,paper,9
113,decreased,9
114,effects,9
115,speeds,9
116,pre,9
117,involving,9
118,timing,9
119,estimation,9
120,due,9
121,policies,9
122,layer,9
123,scenario,9
124,risk,8
125,implemented,8
126,transportation,8
127,approach,8
128,estimated,8
129,cases,8
130,hour,8
131,figure,8
133,shows,8
134,vehicular,8
135,major,8
136,local,8
137,sources,8
138,kolmogorov,8
139,duty,8
140,transmodeler,8
141,combined,8
142,shift,8
143,epa,8
144,epidemiological,8
145,models,8
146,dynamic,7
148,change,7
150,unit,7
151,developed,7
152,heavy,7
153,container,7
154,driving,7
155,research,7
156,safety,7
157,cars,7
158,traveled,7
159,system,7
160,urban,7
161,arterials,7
162,mortality,7
163,pems,7
164,annual,7
165,atmospheric,7
166,baseline,7
168,tests,7
170,provided,7
171,analyses,7
173,scenarios,7
174,analyze,7
175,delivery,7
176,periods,7
177,compared,7
178,caused,6
180,logistics,6
181,cost,6
182,distributed,6
183,type,6
184,work,6
185,methodology,6
186,southern,6
187,caltrans,6
188,half,6
189,queues,6
190,highway,6
191,arterial,6
192,note,6
193,boundary,6
194,observed,6
195,assumed,6
196,case,6
197,meteorological,6
198,recent,6
199,speed,6
200,asthma,6
201,noise,6
202,database,6
203,aadt,6
204,od,6
205,land,6
206,link,6
207,similar,6
208,statistic,6
209,generated,6
210,longer,6
211,daily,6
212,facilities,5
213,section,5
214,operating,5
215,obtained,5
216,gate,5
217,response,5
218,estimating,5
219,main,5
220,versus,5
221,terminals,5
222,additional,5
223,benefits,5
224,simulated,5
225,derived,5
226,excess,5
227,mid,5
228,performance,5
229,implementation,5
230,terminal,5
231,activity,5
232,statistical,5
233,nearby,5
234,period,5
235,shifts,5
236,higher,5
237,grid,5
238,seasonal,5
239,inventories,5
240,occurring,5
241,dollars,5
242,involvement,5
243,gis,5
244,highest,5
245,valuation,5
246,trips,5
248,volumes,5
249,represent,4
